iter	Passed	Remaining
1136	44494	72904
1137	44534	72867
1138	44568	72819
1139	44602	72771
1140	44639	72729
1141	44685	72701
1142	44721	72657
1143	44756	72611
1144	44797	72576
1145	44846	72552
1146	44881	72507
1147	44917	72462
1148	44952	72416
1149	44998	72388
1150	45034	72345
1151	45070	72300
1152	45104	72253
1153	45141	72210
1154	45175	72163
1155	45223	72138
1156	45260	72096
1157	45299	72056
1158	45332	72007
1159	45372	71970
1160	45406	71923
1161	45442	71878
1162	45477	71834
1163	45513	71789
1164	45559	71761
1165	45597	71719
1166	45632	71675
1167	45668	71630
1168	45712	71599
1169	45748	71555
1170	45781	71507
1171	45816	71461
1172	45859	71428
1173	45895	71383
1174	45929	71337
1175	45966	71294
1176	46000	71247
1177	46046	71219
1178	46082	71175
1179	46118	71131
1180	46152	71085
1181	46195	71052
1182	46230	71006
1183	46263	70957
1184	46297	70911
1185	46336	70872
1186	46379	70839
1187	46412	70791
1188	46447	70744
1189	46482	70700
1190	46515	70651
1191	46550	70606
1192	46594	70574
1193	46626	70525
1194	46660	70478
1195	46694	70432
1196	46737	70398
1197	46775	70358
1198	46809	70312
1199	46845	70267
1200	46887	70233
1201	46926	70193
1202	46963	70152
1203	46997	70106
1204	47032	70061
1205	47079	70033
1206	47115	69990
1207	47156	69953
1208	47193	69911
1209	47236	69878
1210	47269	69831
1211	47306	69788
1212	47342	69745
1213	47381	69706
1214	47425	69674
1215	47459	69628
1216	47495	69584
1217	47531	69540
1218	47575	69509
1219	47607	69460
1220	47641	69413
1221	47675	69368
1222	47718	69334
1223	47752	69288
1224	47787	69243
1225	47823	69199
1226	47868	69169
1227	47902	69123
1228	47972	69128
1229	48010	69087
1230	48078	69090
1231	48125	69063
1232	48171	69034
1233	48227	69018
1234	48272	68988
1235	48310	68948
1236	48350	68910
1237	48403	68890
1238	48443	68852
1239	48484	68816
1240	48523	68777
1241	48573	68753
1242	48617	68721
1243	48658	68684
1244	48699	68649
1245	48751	68628
1246	48792	68591
1247	48835	68557
1248	48878	68524
1249	48933	68507
1250	48977	68474
1251	49018	68437
1252	49069	68415
1253	49111	68380
1254	49149	68339
1255	49193	68306
1256	49240	68278
1257	49282	68243
1258	49323	68206
1259	49359	68163
1260	49402	68129
1261	49438	68085
1262	49473	68040
1263	49510	67998
1264	49548	67957
1265	49588	67920
1266	49626	67879
1267	49659	67832
1268	49695	67787
